"Black Unicorn (Unicorn, #1)"	Tanith Lee	3.86	3230	1388323814s/377291	377291.Black_Unicorn

"The Magnificent Ambersons (The Growth Trilogy, #2)"	Booth Tarkington	3.73	7114	1171925907s/127028	127028.The_Magnificent_Ambersons

Dictionary of Accepted Ideas	Gustave Flaubert	3.91	537	1347363976s/2185	2185.Dictionary_of_Accepted_Ideas

The Lost German Slave Girl: The Extraordinary True Story of Sally Miller and Her Fight for Freedom in Old New Orleans	John Bailey	3.7	1269	1434125593s/178466	178466.The_Lost_German_Slave_Girl

"The Harsh Cry of the Heron (Tales of the Otori, #4)"	Lian Hearn	3.91	8510	1213607586s/1408083	1408083.The_Harsh_Cry_of_the_Heron

"Jane Austen and the Archangel (Angels Come to Earth, #1)"	Pamela Aares	3.33	55	1344832413s/15825153	15825153-jane-austen-and-the-archangel

"Judevine: The Complete Poems, 1970-1990"	David Budbill	4.02	47	1390180097s/1133635	1133635.Judevine

"The System of the World (The Baroque Cycle, #3)"	Neal Stephenson	4.29	16010	1407712273s/116257	116257.The_System_of_the_World

"Vampire Princess Rising (The Winters Family Saga, #2)"	Jami Brumfield	4.42	178	1400114041s/22090082	22090082-vampire-princess-rising

"Losing Me Finding You (Losing Me Finding You, #1)"	Natalie Ward	3.96	1798	1400000294s/21777373	21777373-losing-me-finding-you

"Crisis at Crystal Reef (Star Wars: Young Jedi Knights, #14)"	Kevin J. Anderson	3.5	1213	1391734820s/169012	169012.Crisis_at_Crystal_Reef

"Legal Affairs Boxed Set: Volumes 1-6 (Legal Affairs, #1-6)"	Sawyer Bennett	4.19	1243	1396553195s/21842519	21842519-legal-affairs-boxed-set

"Souls in Exile (The Return of Ravana, #3)"	David Hair	3.47	30	1343409028s/15773173	15773173-souls-in-exile

"Taken by Storm (Raised by Wolves, #3)"	Jennifer Lynn Barnes	4.15	6070	1319478735s/12499005	12499005-taken-by-storm

"The Warrior (Brotherhood of the Sword #7/MacAllister Series, #4)"	Kinley MacGregor	4.07	2420	1389956681s/247094	247094.The_Warrior

"Hearts at Stake (The Drake Chronicles, #1)"	Alyxandra Harvey	3.99	15342	1340849993s/6708137	6708137-hearts-at-stake

"20th Century Boys, Band 1 (20th Century Boys, #1)"	Naoki Urasawa	4.35	3997	1344498367s/1308213	1308213.20th_Century_Boys_Band_1

"Chasing Magic (Downside Ghosts, #5)"	Stacia Kane	4.22	4357	1342347484s/12084655	12084655-chasing-magic

"Beauty Awakened (Angels of the Dark, #2)"	Gena Showalter	4.13	8965	1350307293s/15727731	15727731-beauty-awakened

"The Charmed Souls (The Charmed Trilogy, #2)"	Christine Wenrick	4.34	58	1352433156s/16137737	16137737-the-charmed-souls

"Unmade (The Lynburn Legacy, #3)"	Sarah Rees Brennan	3.91	5267	1392937998s/18309803	18309803-unmade

"Dreamless (Starcrossed, #2)"	Josephine Angelini	4.21	30094	1320248839s/12995284	12995284-dreamless

"Night Train to Memphis (Vicky Bliss, #5)"	Elizabeth Peters	4.03	3400	1386920627s/29456	29456.Night_Train_to_Memphis

"Vex (Celestra, #5)"	Addison Moore	4.09	5663	1327105356s/13130607	13130607-vex

"Gunmetal Magic (Kate Daniels, #5.5)"	Ilona Andrews	4.27	20713	1331230653s/13050840	13050840-gunmetal-magic

The Iron Heel	Jack London	3.74	4238	1334104139s/929783	929783.The_Iron_Heel

